Price,Close,High,Low,Open,Volume,SMA_50,SMA_200,rsi,macd,signal,Daily Return,Cumulative Return,Volatility,Upper Band,Lower Band,Position,Strategy Return,Cumulative Strategy Return,Cumulative Market Return
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,
2021-07-14,1452.94091796875,1458.3771452218957,1417.1909162636543,1431.8410498867274,5657716,1329.9137719726561,,68.05073176800882,30.39133110275293,0,0.020680313363859337,1.150675957928106,0.011580339922698588,1509.7345431144918,1150.0930008308205,0,0.0,1.0,1.150675957928106
2021-07-15,1456.534423828125,1471.322676675159,1433.6838901015094,1435.4345548786566,10021355,1334.5874609375,,68.8195283577925,30.0210234151441,0,0.0024732635821136384,1.1535218828696634,0.011472474810160081,1515.1959469167668,1153.9789749582333,0,0.0,1.0,1.1535218828696634
2021-07-16,1433.177001953125,1450.8677694289845,1427.7868892944462,1450.038495372009,6265593,1338.4275610351563,,58.898709051297935,27.525506263426223,0,-0.016036299240776652,1.1350236607751814,0.012200366447427639,1519.0939214933348,1157.7612005769777,0,-0.0,1.0,1.1350236607751814
2021-07-19,1420.5078125,1430.8274544828685,1416.684131571731,1423.271984240591,5669162,1342.179267578125,,54.32426504276603,24.246000433045538,0,-0.00883993354335122,1.1249901270437976,0.012405999149171875,1521.690206509447,1162.668328646803,0,-0.0,1.0,1.1249901270437976
2021-07-20,1428.20166015625,1435.2502088373953,1417.0988575375195,1417.3753197296792,5069939,1346.32185546875,,56.53216787625685,22.01403356492051,0,0.005416265640038498,1.1310833724142875,0.012355742438774835,1523.975741629286,1168.6679693082142,0,0.0,1.0,1.1310833724142875
2021-07-22,1465.1954345703125,1467.637142400905,1438.6594501047052,1438.6594501047052,7854575,1351.3665747070313,,65.23413112883674,22.965539720474908,0,0.02590234659859947,1.1603810859584751,0.013386459276545732,1527.8848302424688,1174.8483191715939,0,0.0,1.0,1.1603810859584751
2021-07-23,1465.4256591796875,1472.8428986229605,1460.4502398363973,1463.6751069900915,4179719,1356.48244140625,,65.28071416929015,23.467671694714454,0,0.00015712894262631671,1.1605634154115554,0.010664781834570305,1531.050428388146,1181.914454424354,0,0.0,1.0,1.1605634154115554
2021-07-26,1477.818359375,1484.959136300507,1468.788686789101,1468.788686789101,4586710,1362.0394116210937,,67.78311658697146,24.582233551141144,0,0.008456723899764151,1.1703779797838583,0.010618615442516431,1533.9407829304337,1190.1380403117537,0,0.0,1.0,1.1703779797838583
2021-07-27,1476.5745849609375,1482.793971653899,1472.2900960775648,1478.831946993051,5892859,1367.334501953125,,67.25915657504973,25.076107889371997,0,-0.0008416287469784622,1.1693929560312415,0.010611205044203719,1536.640179768563,1198.028824137687,0,-0.0,1.0,1.1693929560312415
2021-07-28,1479.3848876953125,1481.2276690981403,1460.8649570917826,1478.9241923446054,4686788,1372.4925512695313,,67.86361960013181,25.4014625560917,0,0.001903258232261562,1.1716186128015567,0.010497924715664667,1539.358314174563,1205.6267883644996,0,0.0,1.0,1.1716186128015567
2021-07-29,1489.888671875,1492.652843807978,1474.3171474910034,1474.3171474910034,4660873,1377.9153662109375,,70.08653991711913,26.204803411233343,-1,0.007100102391914387,1.1799372249167204,0.010327149126040408,1541.987359502576,1213.8433729192989,-1,-0.007100102391914387,0.9928998976080856,1.1799372249167204
2021-07-30,1483.8997802734375,1495.7857432622914,1479.891753066876,1483.4390849054544,6234257,1383.1764721679688,,67.23104025669996,26.057824940222872,0,-0.004019690675294285,1.17519424225629,0.00987020516684315,1543.5186583577142,1222.8342859782233,-1,0.004019690675294285,0.9968910480680014,1.17519424225629
2021-08-02,1503.2950439453125,1506.2434492001814,1491.915778802808,1499.5172520897947,5553389,1388.5483715820312,,71.30804776323987,27.192916118353196,0,0.01307046737907136,1.1905545802637734,0.010179367160718739,1546.5675306672333,1230.5292124968291,-1,-0.01307046737907136,0.9838612161437403,1.1905545802637734
2021-08-03,1525.0858154296875,1528.2646807747042,1507.0265805150668,1517.5304568093657,5513668,1394.4736767578124,,75.0621001920893,29.51063694762638,0,0.014495339136611829,1.2078120726653434,0.01050162941752679,1550.248817147144,1238.6985363684807,-1,-0.014495339136611829,0.9695998141523775,1.2078120726653434
2021-08-04,1519.6036376953125,1547.8442856231945,1510.205497386023,1537.8932209049858,6740391,1400.0423095703125,,72.4923117451359,30.55288681570937,0,-0.0035946683648293565,1.2034703888170744,0.010155313641373533,1553.3361649019384,1246.7484542386865,-1,0.0035946683648293565,0.9730852039308555,1.2034703888170744
2021-08-05,1523.5655517578125,1535.0368203414143,1517.576512542795,1519.8338746417546,5420536,1405.0402416992188,,73.20622779326322,31.337333425994302,0,0.002607202275791254,1.2066080795536456,0.01015132395226001,1557.8110109938573,1252.2694724045803,-1,-0.002607202275791254,0.9705481739726282,1.2066080795536456
2021-08-06,1520.478759765625,1530.1073592522857,1514.766182897758,1526.7442609863654,3754855,1409.885283203125,,71.6460563015132,31.348567922698066,0,-0.002026031626027547,1.2041634534242496,0.010139890758187565,1561.6026020377988,1258.1679643684513,-1,0.002026031626027547,0.9725145352676798,1.2041634534242496
2021-08-09,1532.54931640625,1536.372998131353,1516.9777898610134,1530.4300726403837,5018477,1414.9206884765624,,73.98121271807166,31.96301464873909,0,0.00793865521836401,1.2137228919075391,0.010196101991477571,1565.8585876416678,1263.982789311457,-1,-0.00793865521836401,0.9647940776773423,1.2137228919075391
2021-08-10,1545.402587890625,1547.9364123751677,1530.4761031896458,1536.879723715345,6846517,1420.1449731445311,,76.22647533039643,33.105500097824006,0,0.008386856688250122,1.2239022118612162,0.009793972065996697,1570.6956577049418,1269.5942885841205,-1,-0.008386856688250122,0.9567024880141899,1.2239022118612162
2021-08-11,1545.678955078125,1551.621879877664,1536.8796292374964,1543.1451307493462,4899639,1425.49548828125,,76.27388470344482,33.64538550909742,0,0.0001788318394608801,1.2241210845450836,0.009739039096881874,1574.4560217431815,1276.5349548193183,-1,-0.0001788318394608801,0.9565313991484415,1.2241210845450836
2021-08-12,1556.78173828125,1563.1393567452194,1542.408065541702,1547.1532502453977,5659579,1431.2256176757812,,78.1583420135497,34.57064156536899,0,0.007183110804897863,1.2329140819339828,0.008972237619882263,1577.8388782522761,1284.6123570992863,-1,-0.007183110804897863,0.9496605281199944,1.2329140819339828
2021-08-13,1577.6051025390625,1587.0954716846345,1558.3481269986173,1563.6000089688387,5612790,1437.1695092773436,,81.17782863656478,36.562712928423025,0,0.01337590475643835,1.2494054232668033,0.00923423989992586,1582.9214675565654,1291.417550998122,-1,-0.01337590475643835,0.9369579593449123,1.2494054232668033
2021-08-16,1570.4183349609375,1584.7458928921594,1557.242402932748,1573.4588567928229,4564109,1443.0433740234375,,77.21056010336564,37.133480110584514,0,-0.004555492097837566,1.243713766734116,0.008221828406377658,1586.0496488722495,1300.0370991746256,-1,0.004555492097837566,0.941226263924714,1.243713766734116
2021-08-17,1604.739990234375,1611.4200722061323,1553.971389743907,1569.9574944503968,9510390,1449.5299633789064,,81.78807131382153,39.895398635679385,0,0.02185510351564468,1.2708952598499226,0.008440078481918651,1591.8474565680272,1307.2124701897856,-1,-0.02185510351564468,0.9206556664949959,1.2708952598499226
2021-08-18,1597.184814453125,1617.5015262926693,1591.2418888678096,1593.0846704414841,6686090,1455.4360815429689,,78.07062706248227,41.00195441340975,0,-0.004708037331422443,1.2649118375222212,0.00878301819220655,1597.252807885739,1313.6193552001987,-1,0.004708037331422443,0.9249901477422399,1.2649118375222212
2021-08-20,1596.723876953125,1607.8266792408122,1581.1984670438835,1581.1984670438835,6206972,1461.2896752929687,,77.83817719303777,41.364885385552725,0,-0.0002885937155355789,1.2645467919152058,0.007455642633431993,1601.7557538668088,1320.8235967191285,-1,0.0002885937155355789,0.9252570940858107,1.2645467919152058
2021-08-23,1602.0679931640625,1615.3360410228981,1595.8486062747124,1599.3038212132403,6189051,1467.0842993164063,,78.63252972182696,41.60414957274202,0,0.003346925719639904,1.2687791360967549,0.0073954701602322115,1606.3693544142673,1327.7992442185453,-1,-0.003346925719639904,0.9221603273203356,1.2687791360967549
2021-08-24,1585.5751953125,1618.8834922785745,1578.0658384624185,1612.4337572495763,7602939,1472.1326025390624,,70.26237035499679,40.00182112072571,0,-0.010294692810752348,1.255717444645947,0.008028104271896649,1609.8943358878387,1334.3708691902862,-1,0.010294692810752348,0.9316536846123613,1.255717444645947
2021-08-25,1599.11962890625,1609.5773905590092,1582.9491775912518,1582.9491775912518,6153253,1477.177216796875,,72.82104695963108,39.371042009152006,0,0.008542283982363008,1.2664441396597197,0.0080317997774618,1614.6920198881282,1339.6624137056217,-1,-0.008542283982363008,0.9236952342651876,1.2664441396597197
2021-08-26,1591.88671875,1608.7482140936845,1584.7920551209263,1597.691525337027,5302248,1481.8541943359376,,69.38761899161177,37.851184721133905,0,-0.004523057578373346,1.2607159398962453,0.008246807788806413,1618.735434778056,1344.972953893819,-1,0.004523057578373346,0.9278731609946382,1.2607159398962453
2021-08-27,1574.4722900390625,1591.8864822642358,1571.1551939252793,1589.398772653336,6698514,1486.0594189453125,,61.828974649281555,34.83987561288359,0,-0.010939489918360468,1.246924350581834,0.008822211126293902,1621.0955637995307,1351.0232740910942,-1,0.010939489918360468,0.9380236200848564,1.246924350581834
2021-08-30,1564.5673828125,1583.5480070354047,1557.5187220947423,1569.174335899343,6559667,1489.7956567382812,,57.961500584097784,31.293417181077302,0,-0.0062909377886331,1.2390800270651918,0.00892861408208618,1622.9249023693078,1356.6664111072546,-1,0.0062909377886331,0.9439246683230786,1.2390800270651918
2021-08-31,1572.3070068359375,1580.184941768643,1553.3263822168703,1566.5023133100246,12255438,1493.5392651367188,,60.0636237404801,28.775638648841323,0,0.0049468141215653905,1.2452095256408275,0.008610548929465197,1625.1736939942782,1361.9048362791593,-1,-0.0049468141215653905,0.9392552484441241,1.2452095256408275
2021-09-01,1545.8631591796875,1575.1173122441817,1541.6247846951537,1575.1173122441817,7801974,1496.8092797851561,,50.72972790633418,24.36561190999464,0,-0.01681850143851027,1.2242669674425906,0.009105558553046513,1625.2556414161293,1368.362918154183,-1,0.01681850143851027,0.9550521141912099,1.2242669674425906
